O*NET-SOC Code;Title;Example;Commodity Code;Commodity Title
11-1021.00;General and Operations Managers;Personal computers;43211508;Personal computers
11-1021.00;General and Operations Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-1021.00;General and Operations Managers;Photocopying equipment;44101501;Photocopiers
11-1021.00;General and Operations Managers;Point of sale POS systems;43211505;Point of sale POS terminal
11-1021.00;General and Operations Managers;Profilometers;41114508;Surface testers
11-1021.00;General and Operations Managers;Spectrometers;41115403;Spectrometers
11-1021.00;General and Operations Managers;Surveillance cameras;46171610;Security cameras
11-1021.00;General and Operations Managers;Vacuum test chambers;41103305;High vacuum equipment
11-1031.00;Legislators;Computer laser printers;43212105;Laser printers
11-1031.00;Legislators;Laptop computers;43211503;Notebook computers
11-1031.00;Legislators;Tablet computers;43211509;Tablet computers
11-1031.00;Legislators;Wireless desktop printers;43212105;Laser printers
11-2011.00;Advertising and Promotions Managers;Desktop computers;43211507;Desktop computers
11-2011.00;Advertising and Promotions Managers;Notebook computers;43211503;Notebook computers
11-2011.00;Advertising and Promotions Managers;Personal computers;43211508;Personal computers
11-2011.00;Advertising and Promotions Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-2011.00;Advertising and Promotions Managers;Scanners;43211711;Scanners
11-2011.00;Advertising and Promotions Managers;Tablet computers;43211509;Tablet computers
11-2011.01;Green Marketers;Computer data input scanners;43211711;Scanners
11-2011.01;Green Marketers;Desktop computers;43211507;Desktop computers
11-2011.01;Green Marketers;Handheld computers;43211715;Portable data input terminals
11-2011.01;Green Marketers;Laptop computers;43211503;Notebook computers
11-2011.01;Green Marketers;Laser facsimile machines;44101508;Laser fax machine
11-2011.01;Green Marketers;Multi-line telephone systems;43191507;Special purpose telephones
11-2011.01;Green Marketers;Personal computers;43211508;Personal computers
11-2011.01;Green Marketers;Photocopying equipment;44101501;Photocopiers
11-2021.00;Marketing Managers;Desktop computers;43211507;Desktop computers
11-2021.00;Marketing Managers;Laser facsimile machines;44101508;Laser fax machine
11-2021.00;Marketing Managers;Notebook computers;43211503;Notebook computers
11-2021.00;Marketing Managers;Personal computers;43211508;Personal computers
11-2021.00;Marketing Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-2021.00;Marketing Managers;Photocopiers;44101501;Photocopiers
11-2021.00;Marketing Managers;Scanners;43211711;Scanners
11-2021.00;Marketing Managers;Tablet computers;43211509;Tablet computers
11-2022.00;Sales Managers;Desktop computers;43211507;Desktop computers
11-2022.00;Sales Managers;Notebook computers;43211503;Notebook computers
11-2022.00;Sales Managers;Personal computers;43211508;Personal computers
11-2022.00;Sales Managers;Scanners;43211711;Scanners
11-2022.00;Sales Managers;Tablet computers;43211509;Tablet computers
11-2031.00;Public Relations and Fundraising Managers;Computer scanners;43211711;Scanners
11-2031.00;Public Relations and Fundraising Managers;Desktop computers;43211507;Desktop computers
11-2031.00;Public Relations and Fundraising Managers;Laptop computers;43211503;Notebook computers
11-2031.00;Public Relations and Fundraising Managers;Multi-line telephone systems;43191507;Special purpose telephones
11-2031.00;Public Relations and Fundraising Managers;Personal computers;43211508;Personal computers
11-2031.00;Public Relations and Fundraising Managers;Photocopying equipment;44101501;Photocopiers
11-3011.00;Administrative Services Managers;10-key calculators;44101809;Desktop calculator
11-3011.00;Administrative Services Managers;Desktop computers;43211507;Desktop computers
11-3011.00;Administrative Services Managers;Laptop computers;43211503;Notebook computers
11-3011.00;Administrative Services Managers;Laser facsimile machines;44101508;Laser fax machine
11-3011.00;Administrative Services Managers;Mobile phones;43191501;Mobile phones
11-3011.00;Administrative Services Managers;Multi-line telephone systems;43191507;Special purpose telephones
11-3011.00;Administrative Services Managers;Notebook computers;43211503;Notebook computers
11-3011.00;Administrative Services Managers;Personal computers;43211508;Personal computers
11-3011.00;Administrative Services Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3011.00;Administrative Services Managers;Photocopying equipment;44101501;Photocopiers
11-3011.00;Administrative Services Managers;Scanners;43211711;Scanners
11-3011.00;Administrative Services Managers;Tablet computers;43211509;Tablet computers
11-3021.00;Computer and Information Systems Managers;Access servers;43222625;Access servers
11-3021.00;Computer and Information Systems Managers;Computer servers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Computer tool kits;27113203;Computer tool kits
11-3021.00;Computer and Information Systems Managers;File servers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Industry standard architecture/peripheral component interconnect ISA/PCI cards;43201407;Peripheral controller cards
11-3021.00;Computer and Information Systems Managers;Inkjet printers;43212104;Inkjet printers
11-3021.00;Computer and Information Systems Managers;Internet Information Services IIS Servers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Laser facsimile machines;44101508;Laser fax machine
11-3021.00;Computer and Information Systems Managers;Laser printers;43212105;Laser printers
11-3021.00;Computer and Information Systems Managers;Mainframe computers;43211512;Mainframe computers
11-3021.00;Computer and Information Systems Managers;Mid-range computers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Minicomputers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Netware servers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Network analyzers;41113711;Network analyzers
11-3021.00;Computer and Information Systems Managers;Network interface cards NIC;43201404;Network interface cards
11-3021.00;Computer and Information Systems Managers;Network routers;43222609;Network routers
11-3021.00;Computer and Information Systems Managers;Network switches;43222612;Network switches
11-3021.00;Computer and Information Systems Managers;Personal computers;43211508;Personal computers
11-3021.00;Computer and Information Systems Managers;Photocopiers;44101501;Photocopiers
11-3021.00;Computer and Information Systems Managers;Print servers;43201537;Print servers
11-3021.00;Computer and Information Systems Managers;Punchdown tools;27111505;Punches or nail sets or drifts
11-3021.00;Computer and Information Systems Managers;Robot automation tool;43222627;Integrated services digital network ISDN access devices
11-3021.00;Computer and Information Systems Managers;Screwdrivers;27111701;Screwdrivers
11-3021.00;Computer and Information Systems Managers;Storage servers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Teleconferencing equipment;43221522;Teleconference equipment
11-3021.00;Computer and Information Systems Managers;Web servers;43211501;Computer servers
11-3021.00;Computer and Information Systems Managers;Workstations;43211502;High end computer servers
11-3031.01;Treasurers and Controllers;10-key calculators;44101809;Desktop calculator
11-3031.01;Treasurers and Controllers;Desktop computers;43211507;Desktop computers
11-3031.01;Treasurers and Controllers;Notebook computers;43211503;Notebook computers
11-3031.01;Treasurers and Controllers;Personal computers;43211508;Personal computers
11-3031.01;Treasurers and Controllers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3031.01;Treasurers and Controllers;Tablet computers;43211509;Tablet computers
11-3031.02;Financial Managers, Branch or Department;10-key calculators;44101809;Desktop calculator
11-3031.02;Financial Managers, Branch or Department;Desktop computers;43211507;Desktop computers
11-3031.02;Financial Managers, Branch or Department;Notebook computers;43211503;Notebook computers
11-3031.02;Financial Managers, Branch or Department;Personal computers;43211508;Personal computers
11-3031.02;Financial Managers, Branch or Department;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3031.02;Financial Managers, Branch or Department;Scanners;43211711;Scanners
11-3031.02;Financial Managers, Branch or Department;Tablet computers;43211509;Tablet computers
11-3051.00;Industrial Production Managers;Desktop computers;43211507;Desktop computers
11-3051.00;Industrial Production Managers;Forklifts;24101603;Forklifts
11-3051.00;Industrial Production Managers;Notebook computers;43211503;Notebook computers
11-3051.00;Industrial Production Managers;Personal computers;43211508;Personal computers
11-3051.00;Industrial Production Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3051.00;Industrial Production Managers;Scanners;43211711;Scanners
11-3051.00;Industrial Production Managers;Squares;27111803;Squares
11-3051.00;Industrial Production Managers;Tablet computers;43211509;Tablet computers
11-3051.00;Industrial Production Managers;Tape measures;27111801;Tape measures
11-3051.00;Industrial Production Managers;Taper gauges;41111648;Taper gauge
11-3051.00;Industrial Production Managers;Vernier calipers;41111621;Calipers
11-3051.01;Quality Control Systems Managers;Automated diluters;41121502;Laboratory diluters
11-3051.01;Quality Control Systems Managers;Automated microplate ELISA readers;41113037;Microplate readers
11-3051.01;Quality Control Systems Managers;Cellular assay equipment;41115819;Immunology analyzers
11-3051.01;Quality Control Systems Managers;Computer inkjet printers;43212104;Inkjet printers
11-3051.01;Quality Control Systems Managers;Electrophoresis equipment;41105307;Instrumentation for capillary electrophoresis
11-3051.01;Quality Control Systems Managers;Fourier transfer infrared FTIR spectrometers;41115408;Infrared spectrometers
11-3051.01;Quality Control Systems Managers;Gas chromatography equipment;41115703;Gas chromatographs
11-3051.01;Quality Control Systems Managers;Handheld data collectors;43211715;Portable data input terminals
11-3051.01;Quality Control Systems Managers;Infrared spectroscopic equipment;41115403;Spectrometers
11-3051.01;Quality Control Systems Managers;Laboratory analytical balances;41111517;Analytical balances
11-3051.01;Quality Control Systems Managers;Laboratory benchtop centrifuges;41103903;Benchtop centrifuges
11-3051.01;Quality Control Systems Managers;Laboratory extraction equipment;41104806;Extracting equipment for laboratories
11-3051.01;Quality Control Systems Managers;Laboratory moisture balances;41111513;Moisture balances
11-3051.01;Quality Control Systems Managers;Laptop computers;43211503;Notebook computers
11-3051.01;Quality Control Systems Managers;Liquid chromatography equipment;41115705;Liquid chromatographs
11-3051.01;Quality Control Systems Managers;Personal computers;43211508;Personal computers
11-3051.01;Quality Control Systems Managers;pH analyzers;41115603;pH meters
11-3051.01;Quality Control Systems Managers;Titrators;41115602;Titration equipment
11-3051.02;Geothermal Production Managers;Dataloggers;43211715;Portable data input terminals
11-3051.02;Geothermal Production Managers;Desktop computers;43211507;Desktop computers
11-3051.02;Geothermal Production Managers;Diesel-powered generators;26111601;Diesel generators
11-3051.02;Geothermal Production Managers;Forklifts;24101603;Forklifts
11-3051.02;Geothermal Production Managers;Laptop computers;43211503;Notebook computers
11-3051.02;Geothermal Production Managers;Large volume water pumps;40151510;Water pumps
11-3051.02;Geothermal Production Managers;Material moving cranes;24101623;Tower cranes
11-3051.02;Geothermal Production Managers;Mobile radios;43191510;Two way radios
11-3051.02;Geothermal Production Managers;Multi-line telephone systems;43191507;Special purpose telephones
11-3051.02;Geothermal Production Managers;Personal computers;43211508;Personal computers
11-3051.02;Geothermal Production Managers;Programmable logic controllers PLC;32101628;Microcontrollers
11-3051.03;Biofuels Production Managers;Air monitoring equipment;41104008;Air samplers or collectors
11-3051.03;Biofuels Production Managers;Ball valves;40141607;Ball valves
11-3051.03;Biofuels Production Managers;Belt conveyor systems;24101712;Belt conveyors
11-3051.03;Biofuels Production Managers;Desktop computers;43211507;Desktop computers
11-3051.03;Biofuels Production Managers;Dust and particulate respirators;46182002;Respirators
11-3051.03;Biofuels Production Managers;Electric timing devices;46171603;Clock timers
11-3051.03;Biofuels Production Managers;Emergency alarm systems;46171604;Alarm systems
11-3051.03;Biofuels Production Managers;Fermentation processing vessels;41104301;Standard fermentation units
11-3051.03;Biofuels Production Managers;Flow control valves FCV;40141609;Control valves
11-3051.03;Biofuels Production Managers;Forklifts;24101603;Forklifts
11-3051.03;Biofuels Production Managers;Gate butterfly valves;40141613;Gate valves
11-3051.03;Biofuels Production Managers;Glass graduated cylinders;41121805;Laboratory graduated cylinders
11-3051.03;Biofuels Production Managers;Gravity convection ovens;41104501;Laboratory mechanical convection ovens
11-3051.03;Biofuels Production Managers;Hand sampling pumps;40151506;Hand pumps
11-3051.03;Biofuels Production Managers;Hazardous material spill kits;47131905;Spill kits
11-3051.03;Biofuels Production Managers;Mobile radios;43191510;Two way radios
11-3051.03;Biofuels Production Managers;Moisture analyzers;41112304;Moisture meters
11-3051.03;Biofuels Production Managers;Mole sieves;41105003;Test sieves
11-3051.03;Biofuels Production Managers;Personal computers;43211508;Personal computers
11-3051.03;Biofuels Production Managers;pH probes;41115603;pH meters
11-3051.03;Biofuels Production Managers;Reaction flasks;41121804;Laboratory flasks
11-3051.03;Biofuels Production Managers;Sample ports;41104015;Plant samples analysis equipment
11-3051.03;Biofuels Production Managers;Self-contained breathing apparatus;46182004;Respiration air supplying self contained breathing apparatus or accessories
11-3051.03;Biofuels Production Managers;Stop valves;40141611;Globe valves
11-3051.03;Biofuels Production Managers;Throttle control valves TCV;40141609;Control valves
11-3051.04;Biomass Power Plant Managers;Biomass boilers;40102001;Fire tube boilers
11-3051.04;Biomass Power Plant Managers;Bubbling fluidized bed boilers;40102001;Fire tube boilers
11-3051.04;Biomass Power Plant Managers;Circulating fluidized bed boilers;40102001;Fire tube boilers
11-3051.04;Biomass Power Plant Managers;Cooling towers;40101703;Evaporative coolers
11-3051.04;Biomass Power Plant Managers;Desktop computers;43211507;Desktop computers
11-3051.04;Biomass Power Plant Managers;Heat recovery steam generators;26111608;Steam generators
11-3051.04;Biomass Power Plant Managers;Laptop computers;43211503;Notebook computers
11-3051.04;Biomass Power Plant Managers;Personal computers;43211508;Personal computers
11-3051.04;Biomass Power Plant Managers;Radial stackers;24101708;Extendable conveyors
11-3051.04;Biomass Power Plant Managers;Steam boilers;40102002;Water tube boiler
11-3051.04;Biomass Power Plant Managers;Steam turbines;26101505;Steam engines
11-3051.04;Biomass Power Plant Managers;Water samplers;41104007;Water samplers
11-3051.04;Biomass Power Plant Managers;Wood feed systems;22101715;Batching plants or feeders
11-3051.05;Methane/Landfill Gas Collection System Operators;Air samplers;41104008;Air samplers or collectors
11-3051.05;Methane/Landfill Gas Collection System Operators;All terrain vehicles ATV;25101905;All terrain vehicles tracked or wheeled
11-3051.05;Methane/Landfill Gas Collection System Operators;Combustible gas monitors;26131701;Combustible or hazardous gas detectors for power generators
11-3051.05;Methane/Landfill Gas Collection System Operators;Desktop computers;43211507;Desktop computers
11-3051.05;Methane/Landfill Gas Collection System Operators;Diesel reciprocating engine generator sets;26111601;Diesel generators
11-3051.05;Methane/Landfill Gas Collection System Operators;Enclosed flares;26131608;Flare or vent stacks
11-3051.05;Methane/Landfill Gas Collection System Operators;Gas leak detectors;46171613;Gas detectors
11-3051.05;Methane/Landfill Gas Collection System Operators;Gas reciprocating engine generator sets;26111604;Gas generators
11-3051.05;Methane/Landfill Gas Collection System Operators;Micro anemometers;41114401;Anemometers
11-3051.05;Methane/Landfill Gas Collection System Operators;Multiple gas monitors;41113118;Multi gas monitors
11-3051.05;Methane/Landfill Gas Collection System Operators;Notebook computers;43211503;Notebook computers
11-3051.05;Methane/Landfill Gas Collection System Operators;Open flares;26131608;Flare or vent stacks
11-3051.05;Methane/Landfill Gas Collection System Operators;Oxygen analyzers;41113110;Oxygen gas analyzers
11-3051.05;Methane/Landfill Gas Collection System Operators;Personal computers;43211508;Personal computers
11-3051.05;Methane/Landfill Gas Collection System Operators;Pressure gauges;41111927;Pressure sensors
11-3051.05;Methane/Landfill Gas Collection System Operators;Pressure valves;40141604;Safety valves
11-3051.05;Methane/Landfill Gas Collection System Operators;Utility trucks;25101507;Light trucks or sport utility vehicles
11-3051.06;Hydroelectric Production Managers;Dam water flow controls;40142207;Water level regulator
11-3051.06;Hydroelectric Production Managers;Desktop computers;43211507;Desktop computers
11-3051.06;Hydroelectric Production Managers;Electrical circuit breakers;39121601;Circuit breakers
11-3051.06;Hydroelectric Production Managers;Electrical switch gear;26131808;Substation load control switchgears
11-3051.06;Hydroelectric Production Managers;Hydraulic power generation equipment;26111606;Hydraulic generators
11-3051.06;Hydroelectric Production Managers;Hydroelectric power generator controls;26131803;Generator control or protection panels
11-3051.06;Hydroelectric Production Managers;Impulse turbines;26101506;Turbine engines
11-3051.06;Hydroelectric Production Managers;Laptop computers;43211503;Notebook computers
11-3051.06;Hydroelectric Production Managers;Mobile radios;43191510;Two way radios
11-3051.06;Hydroelectric Production Managers;Personal computers;43211508;Personal computers
11-3051.06;Hydroelectric Production Managers;Power transformers;39121002;Power supply transformers
11-3051.06;Hydroelectric Production Managers;Protective ear muffs;46181902;Ear muffs
11-3051.06;Hydroelectric Production Managers;Protective respirators;46182002;Respirators
11-3051.06;Hydroelectric Production Managers;Reaction turbines;26101506;Turbine engines
11-3051.06;Hydroelectric Production Managers;Safety glasses;46181802;Safety glasses
11-3051.06;Hydroelectric Production Managers;Turbine generators;26101506;Turbine engines
11-3061.00;Purchasing Managers;10-key calculators;44101809;Desktop calculator
11-3061.00;Purchasing Managers;Desktop computers;43211507;Desktop computers
11-3061.00;Purchasing Managers;Personal computers;43211508;Personal computers
11-3071.01;Transportation Managers;Barcode scanners;43211701;Bar code reader equipment
11-3071.01;Transportation Managers;Barcoding labels;55121608;Bar code labels
11-3071.01;Transportation Managers;Desktop computers;43211507;Desktop computers
11-3071.01;Transportation Managers;Forklifts;24101603;Forklifts
11-3071.01;Transportation Managers;Laptop computers;43211503;Notebook computers
11-3071.01;Transportation Managers;Personal computers;43211508;Personal computers
11-3071.01;Transportation Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3071.01;Transportation Managers;Radio frequency handheld terminals;43221721;Radio frequency data communication equipment
11-3071.01;Transportation Managers;Radio frequency identification RFID devices;43211710;Radio frequency identification devices
11-3071.01;Transportation Managers;Radio frequency truck-mounted terminals;43221721;Radio frequency data communication equipment
11-3071.01;Transportation Managers;Wireless communication and satellite positioning tools;43223209;Location based messaging service platforms
11-3071.02;Storage and Distribution Managers;Barcode scanners;43211701;Bar code reader equipment
11-3071.02;Storage and Distribution Managers;Barcoding labels;55121608;Bar code labels
11-3071.02;Storage and Distribution Managers;Cell phones;43191501;Mobile phones
11-3071.02;Storage and Distribution Managers;Desktop computers;43211507;Desktop computers
11-3071.02;Storage and Distribution Managers;Digital cameras;45121504;Digital cameras
11-3071.02;Storage and Distribution Managers;Forklifts;24101603;Forklifts
11-3071.02;Storage and Distribution Managers;Global positioning systems GPS;25173107;Vehicular global positioning system GPS
11-3071.02;Storage and Distribution Managers;Laptop computers;43211503;Notebook computers
11-3071.02;Storage and Distribution Managers;Pallet jacks;24101505;Pallet trucks
11-3071.02;Storage and Distribution Managers;Personal computers;43211508;Personal computers
11-3071.02;Storage and Distribution Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3071.02;Storage and Distribution Managers;Radio frequency handheld terminals;43221721;Radio frequency data communication equipment
11-3071.02;Storage and Distribution Managers;Radio frequency identification RFID devices;43211710;Radio frequency identification devices
11-3071.02;Storage and Distribution Managers;Radio frequency truck-mounted terminals;43221721;Radio frequency data communication equipment
11-3071.02;Storage and Distribution Managers;Wireless communication and satellite positioning tools;43223209;Location based messaging service platforms
11-3071.03;Logistics Managers;Laser facsimile machines;44101508;Laser fax machine
11-3071.03;Logistics Managers;Multi-line telephone systems;43191507;Special purpose telephones
11-3071.03;Logistics Managers;Personal protective equipment;46181509;Hazardous material protective apparel
11-3071.03;Logistics Managers;Photocopiers;44101501;Photocopiers
11-3111.00;Compensation and Benefits Managers;10-key calculators;44101809;Desktop calculator
11-3111.00;Compensation and Benefits Managers;Desktop computers;43211507;Desktop computers
11-3111.00;Compensation and Benefits Managers;Laptop computers;43211503;Notebook computers
11-3111.00;Compensation and Benefits Managers;Liquid crystal display LCD video projectors;45111614;Liquid crystal display projector
11-3111.00;Compensation and Benefits Managers;Notebook computers;43211503;Notebook computers
11-3111.00;Compensation and Benefits Managers;Optical disk drives;43201811;Read write digital versatile disc DVD
11-3111.00;Compensation and Benefits Managers;Personal computers;43211508;Personal computers
11-3111.00;Compensation and Benefits Managers;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-3111.00;Compensation and Benefits Managers;Photocopying equipment;44101501;Photocopiers
11-3111.00;Compensation and Benefits Managers;Scanners;43211711;Scanners
11-3111.00;Compensation and Benefits Managers;Tablet computers;43211509;Tablet computers
11-3111.00;Compensation and Benefits Managers;Universal serial bus USB flash drives;43201813;High capacity removable media drives
11-3121.00;Human Resources Managers;Audio recording equipment;46171621;Surveillance video or audio recorders
11-3121.00;Human Resources Managers;Desktop computers;43211507;Desktop computers
11-3121.00;Human Resources Managers;Notebook computers;43211503;Notebook computers
11-3121.00;Human Resources Managers;Personal computers;43211508;Personal computers
11-3121.00;Human Resources Managers;Scanners;43211711;Scanners
11-3131.00;Training and Development Managers;Desktop computers;43211507;Desktop computers
11-3131.00;Training and Development Managers;Laptop computers;43211503;Notebook computers
11-3131.00;Training and Development Managers;Liquid crystal display LCD video projectors;45111614;Liquid crystal display projector
11-3131.00;Training and Development Managers;MP3 players;52161543;MP3 players or recorders
11-3131.00;Training and Development Managers;Personal computers;43211508;Personal computers
11-3131.00;Training and Development Managers;Universal serial bus USB flash drives;43201813;High capacity removable media drives
11-3131.00;Training and Development Managers;Videoconferencing equipment;45111902;Videoconferencing systems
11-9013.01;Nursery and Greenhouse Managers;Aerosol foggers;21101805;Fog or mist generators
11-9013.01;Nursery and Greenhouse Managers;Backhoe attachments;22101713;Backhoe boom or boom sections
11-9013.01;Nursery and Greenhouse Managers;Bar code readers;43211701;Bar code reader equipment
11-9013.01;Nursery and Greenhouse Managers;Bench scales;41111507;Bench scales
11-9013.01;Nursery and Greenhouse Managers;Carbon dioxide systems;21102303;Greenhouse ventilation equipment
11-9013.01;Nursery and Greenhouse Managers;Chemical sprayers;21101801;Sprayers
11-9013.01;Nursery and Greenhouse Managers;Chipping equipment;27112715;Power chippers
11-9013.01;Nursery and Greenhouse Managers;Composting equipment;21101806;Composter
11-9013.01;Nursery and Greenhouse Managers;Cordless power drills;27112703;Power drills
11-9013.01;Nursery and Greenhouse Managers;Dew point meters;41112302;Psychrometers
11-9013.01;Nursery and Greenhouse Managers;Drainage pumps;40151531;Dewatering pumps
11-9013.01;Nursery and Greenhouse Managers;Drip emitters;21101511;Irrigation trickles
11-9013.01;Nursery and Greenhouse Managers;Electric timing devices;46171603;Clock timers
11-9013.01;Nursery and Greenhouse Managers;Extended pole pruners;27112007;Secateurs or pruning shears
11-9013.01;Nursery and Greenhouse Managers;Extension ladders;30191501;Ladders
11-9013.01;Nursery and Greenhouse Managers;Fertigation equipment;21102301;Greenhouse irrigation equipment
11-9013.01;Nursery and Greenhouse Managers;Fertilizer injectors;21101804;Fertilizer spreaders or distributors
11-9013.01;Nursery and Greenhouse Managers;Forklifts;24101603;Forklifts
11-9013.01;Nursery and Greenhouse Managers;Fumigation equipment;21101801;Sprayers
11-9013.01;Nursery and Greenhouse Managers;Grease guns;27112901;Grease guns
11-9013.01;Nursery and Greenhouse Managers;Handsaws;27111508;Saws
11-9013.01;Nursery and Greenhouse Managers;Humidifiers;21102303;Greenhouse ventilation equipment
11-9013.01;Nursery and Greenhouse Managers;Humidity meters;41112301;Hygrometers
11-9013.01;Nursery and Greenhouse Managers;Hydroponic equipment;21102302;Greenhouse pots
11-9013.01;Nursery and Greenhouse Managers;Impact sprinklers;21101803;Water sprinklers
11-9013.01;Nursery and Greenhouse Managers;Lawn edgers;27112015;Lawn scarifiers
11-9013.01;Nursery and Greenhouse Managers;Lawn mowers;27112014;Lawnmowers
11-9013.01;Nursery and Greenhouse Managers;Light evaluation meters;41115308;Lightmeters
11-9013.01;Nursery and Greenhouse Managers;Line cutters;27112015;Lawn scarifiers
11-9013.01;Nursery and Greenhouse Managers;Materials conveyors;24101712;Belt conveyors
11-9013.01;Nursery and Greenhouse Managers;Mechanized tilling equipment;21101503;Cultivators
11-9013.01;Nursery and Greenhouse Managers;Microsprinklers;21101803;Water sprinklers
11-9013.01;Nursery and Greenhouse Managers;Mist control systems;21102301;Greenhouse irrigation equipment
11-9013.01;Nursery and Greenhouse Managers;Mulch spreaders;27112907;Broadcast spreaders
11-9013.01;Nursery and Greenhouse Managers;Multipurpose tractors;25101901;Agricultural tractors
11-9013.01;Nursery and Greenhouse Managers;Overhead sprinklers;21101803;Water sprinklers
11-9013.01;Nursery and Greenhouse Managers;Personal computers;43211508;Personal computers
11-9013.01;Nursery and Greenhouse Managers;pH indicators;41115603;pH meters
11-9013.01;Nursery and Greenhouse Managers;Pneumatic cutters;27112007;Secateurs or pruning shears
11-9013.01;Nursery and Greenhouse Managers;Pneumatic pruners;27112007;Secateurs or pruning shears
11-9013.01;Nursery and Greenhouse Managers;Pop-up sprinklers;21101803;Water sprinklers
11-9013.01;Nursery and Greenhouse Managers;Portable air compressors;40151601;Air compressors
11-9013.01;Nursery and Greenhouse Managers;Portable dataloggers;43211715;Portable data input terminals
11-9013.01;Nursery and Greenhouse Managers;Power augers;41113909;Soil core sampling apparatus
11-9013.01;Nursery and Greenhouse Managers;Power monitors;41113708;Power meters
11-9013.01;Nursery and Greenhouse Managers;Powered trailers;25181701;Container trailers
11-9013.01;Nursery and Greenhouse Managers;Pruning tools;27112007;Secateurs or pruning shears
11-9013.01;Nursery and Greenhouse Managers;Radiant heaters;41102404;Laboratory heaters
11-9013.01;Nursery and Greenhouse Managers;Security alarm systems;46171604;Alarm systems
11-9013.01;Nursery and Greenhouse Managers;Skid steer machines;22101529;Skid steer loaders
11-9013.01;Nursery and Greenhouse Managers;Soil electrical conductivity measurement devices;41115609;Conductivity meters
11-9013.01;Nursery and Greenhouse Managers;Soil mixers;41103801;Laboratory mixers
11-9013.01;Nursery and Greenhouse Managers;Soil pasteurizers;21102302;Greenhouse pots
11-9013.01;Nursery and Greenhouse Managers;Soil thermometers;41112213;Handheld thermometer
11-9013.01;Nursery and Greenhouse Managers;Sport utility vehicles SUVs;25101507;Light trucks or sport utility vehicles
11-9013.01;Nursery and Greenhouse Managers;Steam sterilizers;42281508;Steam autoclaves or sterilizers
11-9013.01;Nursery and Greenhouse Managers;Stereo light microscopes;41111703;Stereo or dissecting light microscopes
11-9013.01;Nursery and Greenhouse Managers;Transplanting equipment;21101602;Transplanters
11-9013.01;Nursery and Greenhouse Managers;Trenchers;22101508;Trenching machines
